,0,1,2,3,4,5,6,7
data,_0110111111,_0110100111,_0110001111,_0110110111,_0110011111,_0110010111,_0110101111,_0110000111
diginetica,5.629902246310049,5.659708393585188,5.737423578102338,5.698790735951356,5.620156163107628,5.702241446561083,5.612712623202611,5.831726614974087
yoochoose1_64,4.3697103270887645,4.448375621702016,4.415203292432815,4.457958411761699,4.358971077706676,4.463702160235438,4.362664307667337,4.474231091198845
