,0
0,5.72638907799354
1,5.600184073814979
2,5.404168899242695
3,5.464503288269043
4,5.394502383012038
5,5.339879586146428
6,5.3495372992295485
7,5.329521435957688
8,5.371322485116812
9,5.279711063091572
10,5.345094900864821
11,5.3089740459735575
12,5.3824184857881985
13,5.33565326837393
14,5.367999150202825
15,5.304193019866943
16,5.3476236416743355
17,5.359070851252629
18,5.385600420144888
19,5.35907506942749
20,5.35436593569242
21,5.325741511124831
22,5.372819570394663
23,5.390649722172664
24,5.357719311347375
25,5.354188698988694
26,5.310382292820857
27,5.3576627511244554
28,5.3291233869699335
29,5.373619189629188
