,0
0,6.426473898190233
1,4.812011612592823
2,4.250396760871972
3,4.1654076557541
4,4.111532232896094
5,4.044329098541371
6,4.037446370025556
7,4.0318194388311985
8,4.023611482590332
9,4.023166130929098
10,4.0226411916784865
11,4.021823430261151
12,4.021740961023265
13,4.0216844585271225
14,4.021577113317329
15,4.02164474414084
16,4.021578364579798
17,4.021632264710401
18,4.021671274089272
19,4.021631211388849
20,4.021627509616523
21,4.021631914269251
22,4.021694736759158
23,4.021580700037704
24,4.0215737868657335
25,4.021639719690043
26,4.021658818313772
27,4.021617940774831
28,4.021540422251367
29,4.021571727596963
