,0
0,5.490158758024229
1,4.421893677668947
2,3.9129238572111644
3,3.8190673731184868
4,3.7686756005252366
5,3.6844387407656067
6,3.6768585374852263
7,3.6710919096973273
8,3.660790109350798
9,3.660217522156822
10,3.659722096470763
11,3.6586525198510285
12,3.6585619698411294
13,3.658516616684645
14,3.658349409397308
15,3.658448769679486
16,3.65835045227717
17,3.6583455100707925
18,3.65839350491029
19,3.6583646481409047
20,3.6583203989030477
21,3.6583838295246918
22,3.658388523644259
23,3.6583667324826212
24,3.6583798058002697
25,3.6583747764509025
26,3.658347787583767
27,3.658305877800019
28,3.658329513466787
29,3.6583527609863036
