,0,1,2,3,4
data,_0010111111,_1010111111,_0100111111,_0011111111,_0110111111
diginetica,0.001653454555292,0.0054443332058008,0.0024220827142818,0.0042368857788266,0.0036693647355009
yoochoose1_64,0.005532883566832,0.0077436078004423,0.0047946006916172,0.0021500635883815,0.0051742940283128
