,0,1,2,3,4
data,_0010111111,_1010111111,_0100111111,_0011111111,_0110111111
diginetica,0.0090678170714972,0.0070896898842761,0.0131998429543392,0.0160537942113429,0.0111962682865578
yoochoose1_64,0.0114039672855783,0.0089676864203309,0.012526937724389,0.0112917972519797,0.0138872316915503
