,0,1,2,3,4
data,_0010111111,_1010111111,_0100111111,_0011111111,_0110111111
diginetica,0.1816424282292615,0.0556363357186805,0.1208028143321607,0.0447922775101587,0.1827286648927107
yoochoose1_64,0.0559274587651052,0.0523510209159257,0.1023942754392255,0.0589818652611324,0.1247201884167693
