,0,1,2,3,4,5,6,7
data,_0110011001,_0110011011,_0110011111,_0110011101,_0110011010,_0110011100,_0110011110,_0110011000
diginetica,0.0080023289676145,0.0100567622080574,0.009012320988293,0.0101642111291149,0.0210336250356421,0.0061564494386114,0.007448371064025,0.0049315519155448
yoochoose1_64,0.0094562213797917,0.0087810019108765,0.0071477039752233,0.0070209060938756,0.0099947317868258,0.0165510793128529,0.0101868228577294,0.0065313358204948
