,0,1,2,3,4,5,6,7
data,_0110011001,_0110011011,_0110011111,_0110011101,_0110011010,_0110011100,_0110011110,_0110011000
diginetica,5.701240524491772,5.621427980261633,5.624088817954305,5.698237539126738,5.799236925789985,5.705695939522271,5.649645840404972,5.8081411118201
yoochoose1_64,4.348630835803021,4.3479704827165016,4.363146478300027,4.34666253749896,4.374387374155133,4.3476511061974525,4.355829922012284,4.37832923470247
