,0,1,2,3,4,5,6,7
data,_0110011001,_0110011011,_0110011111,_0110011101,_0110011010,_0110011100,_0110011110,_0110011000
diginetica,17.523747165527016,17.504401364527485,17.72033512354133,17.819647319398914,17.203297818560007,17.776910552200846,17.740253982016753,17.35185214003828
yoochoose1_64,31.39515467006373,31.285230638539204,30.731825943994107,31.23700068871342,31.33633413766701,31.23337853687504,30.84244044591685,31.441499904767028
