,0,1,2,3,4,5,6,7
data,_0110011001,_0110011011,_0110011111,_0110011101,_0110011010,_0110011100,_0110011110,_0110011000
diginetica,4.176639373378135,4.242979097599534,4.348519527004194,4.289512078346068,4.095081093795755,4.280653040947151,4.329449013808117,4.082028348535931
yoochoose1_64,3.71470584204149,3.730515922168817,3.90386545094942,3.800308444821487,3.722587046275462,3.788913813209742,3.887562212016444,3.687415121050659
