,0,1,2,3,4,5,6,7
data,_0110011001,_0110011011,_0110011111,_0110011101,_0110011010,_0110011100,_0110011110,_0110011000
diginetica,13.0,13.666666666666666,14.0,13.666666666666666,13.0,13.666666666666666,14.0,13.0
yoochoose1_64,14.0,17.666666666666668,18.666666666666668,16.333333333333332,13.333333333333334,16.333333333333332,17.0,14.0
